ctx_name,ctx_fname,q_idx,q_text,q_answer_true,qa_model,qa_answer_pred,spacy_sim,bertscore_precision,bertscore_recall,bertscore_f1,bertscore_hashcode,rouge1,rouge2,rougeL,rougeLsum
protagonist,protagonist.0.md,0,Who is the main character that the story revolves around?,Sherlock Holmes,distilbert-base-cased-distilled-squad,Beaune,0.0,0.464594304561615,0.5281525254249573,0.49433884024620056,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.0,0.0,0.0,0.0
protagonist,protagonist.0.md,0,Who is the main character that the story revolves around?,Sherlock Holmes,distilbert-base-uncased-distilled-squad,the Beaune,0.0,0.48016396164894104,0.5041683316230774,0.49187344312667847,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.0,0.0,0.0,0.0
protagonist,protagonist.0.md,0,Who is the main character that the story revolves around?,Sherlock Holmes,deepset/roberta-base-squad2,cocaine,0.10666643400956173,0.6038551926612854,0.5690641403198242,0.5859436988830566,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.0,0.0,0.0,0.0
protagonist,protagonist.0.md,0,Who is the main character that the story revolves around?,Sherlock Holmes,deepset/roberta-large-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,0,Who is the main character that the story revolves around?,Sherlock Holmes,deepset/deberta-v3-base-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,0,Who is the main character that the story revolves around?,Sherlock Holmes,deepset/deberta-v3-large-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,0,Who is the main character that the story revolves around?,Sherlock Holmes,deepset/electra-base-squad2,It is cocaine,0.10666643400956173,0.4671434462070465,0.4511386752128601,0.4590016007423401,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.0,0.0,0.0,0.0
protagonist,protagonist.0.md,1,Who is the detective in the story?,Sherlock Holmes,distilbert-base-cased-distilled-squad,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,1,Who is the detective in the story?,Sherlock Holmes,distilbert-base-uncased-distilled-squad,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,1,Who is the detective in the story?,Sherlock Holmes,deepset/roberta-base-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,1,Who is the detective in the story?,Sherlock Holmes,deepset/roberta-large-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,1,Who is the detective in the story?,Sherlock Holmes,deepset/deberta-v3-base-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,1,Who is the detective in the story?,Sherlock Holmes,deepset/deberta-v3-large-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,1,Who is the detective in the story?,Sherlock Holmes,deepset/electra-base-squad2,It is cocaine,0.10666643400956173,0.4671434462070465,0.4511386752128601,0.4590016007423401,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.0,0.0,0.0,0.0
protagonist,protagonist.0.md,2,Who is the main protagonist in the story?,Sherlock Holmes,distilbert-base-cased-distilled-squad,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,2,Who is the main protagonist in the story?,Sherlock Holmes,distilbert-base-uncased-distilled-squad,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,2,Who is the main protagonist in the story?,Sherlock Holmes,deepset/roberta-base-squad2,cocaine,0.10666643400956173,0.6038551926612854,0.5690641403198242,0.5859436988830566,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.0,0.0,0.0,0.0
protagonist,protagonist.0.md,2,Who is the main protagonist in the story?,Sherlock Holmes,deepset/roberta-large-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,2,Who is the main protagonist in the story?,Sherlock Holmes,deepset/deberta-v3-base-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,2,Who is the main protagonist in the story?,Sherlock Holmes,deepset/deberta-v3-large-squad2,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,2,Who is the main protagonist in the story?,Sherlock Holmes,deepset/electra-base-squad2,It is cocaine,0.10666643400956173,0.4671434462070465,0.4511386752128601,0.4590016007423401,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.0,0.0,0.0,0.0
protagonist,protagonist.0.md,3,What did Holmes take from the morocco case?,Syringe,distilbert-base-cased-distilled-squad,hypodermic syringe,0.938364181772037,0.6908412575721741,0.843697190284729,0.7596561908721924,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
protagonist,protagonist.0.md,3,What did Holmes take from the morocco case?,Syringe,distilbert-base-uncased-distilled-squad,hypodermic syringe,0.938364181772037,0.6908412575721741,0.843697190284729,0.7596561908721924,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
