ctx_name,ctx_fname,ctx_text,model_idx,model_name,answer_pred,Rouge: rouge1,Rouge: rouge2,Rouge: rougeL,Rouge: rougeLsum,Bert: precision,Bert: recall,Bert: f1,spacy_sim
protagonist,protagonist.0.md,"Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case. With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks. Finally he thrust the sharp point home, pressed down the tiny piston, and sank back into the velvet-lined arm-chair with a long sigh of satisfaction. Three times a day for many months I had witnessed this performance, but custom had not reconciled my mind to it. On the contrary, from day to day I had become more irritable at the sight, and my conscience swelled nightly within me at the thought that I had lacked the courage to protest. Again and again I had registered a vow that I should deliver my soul upon the subject, but there was that in the cool, nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty. His great powers, his masterly manner, and the experience which I had had of his many extraordinary qualities, all made me diffident and backward in crossing him. Yet upon that afternoon, whether it was the Beaune which I had taken with my lunch, or the additional exasperation produced by the extreme deliberation of his manner, I suddenly felt that I could hold out no longer. ""Which is it to-day?"" I asked,-""morphine or cocaine?"" He raised his eyes languidly from the old black-letter volume which he had opened. ""It is cocaine,"" he said,-""a seven-per-cent. solution. Would you care to try it?"" ""No, indeed,"" I answered, brusquely. ""My constitution has not got over the Afghan campaign yet. I",0,sshleifer/distilbart-cnn-12-6,"Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case . Holmes took the needle home, thrust the sharp point home, pressed down the tiny piston, and sank back into the velvet-lined arm-chair with a long sigh of satisfaction . Three times a day for many months I had witnessed this performance, but custom had not reconciled my mind to it .",0.356020942408377,0.3368421052631580,0.356020942408377,0.356020942408377,0.956477761268616,0.827312052249908,0.887218415737152,0.9257773001253110
protagonist,protagonist.0.md,"Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case. With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks. Finally he thrust the sharp point home, pressed down the tiny piston, and sank back into the velvet-lined arm-chair with a long sigh of satisfaction. Three times a day for many months I had witnessed this performance, but custom had not reconciled my mind to it. On the contrary, from day to day I had become more irritable at the sight, and my conscience swelled nightly within me at the thought that I had lacked the courage to protest. Again and again I had registered a vow that I should deliver my soul upon the subject, but there was that in the cool, nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty. His great powers, his masterly manner, and the experience which I had had of his many extraordinary qualities, all made me diffident and backward in crossing him. Yet upon that afternoon, whether it was the Beaune which I had taken with my lunch, or the additional exasperation produced by the extreme deliberation of his manner, I suddenly felt that I could hold out no longer. ""Which is it to-day?"" I asked,-""morphine or cocaine?"" He raised his eyes languidly from the old black-letter volume which he had opened. ""It is cocaine,"" he said,-""a seven-per-cent. solution. Would you care to try it?"" ""No, indeed,"" I answered, brusquely. ""My constitution has not got over the Afghan campaign yet. I",1,slauw87/bart_summarisation,Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case. Three times a day for many months he used the syringe. Holmes is addicted to cocaine. Holmes doesn't want to try it as his constitution has not got over the Afghan campaign yet.,0.25136612021857900,0.19780219780219800,0.24043715846994500,0.24043715846994500,0.920806229114533,0.804311454296112,0.85862547159195,0.8216717101146090
protagonist,protagonist.0.md,"Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case. With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks. Finally he thrust the sharp point home, pressed down the tiny piston, and sank back into the velvet-lined arm-chair with a long sigh of satisfaction. Three times a day for many months I had witnessed this performance, but custom had not reconciled my mind to it. On the contrary, from day to day I had become more irritable at the sight, and my conscience swelled nightly within me at the thought that I had lacked the courage to protest. Again and again I had registered a vow that I should deliver my soul upon the subject, but there was that in the cool, nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty. His great powers, his masterly manner, and the experience which I had had of his many extraordinary qualities, all made me diffident and backward in crossing him. Yet upon that afternoon, whether it was the Beaune which I had taken with my lunch, or the additional exasperation produced by the extreme deliberation of his manner, I suddenly felt that I could hold out no longer. ""Which is it to-day?"" I asked,-""morphine or cocaine?"" He raised his eyes languidly from the old black-letter volume which he had opened. ""It is cocaine,"" he said,-""a seven-per-cent. solution. Would you care to try it?"" ""No, indeed,"" I answered, brusquely. ""My constitution has not got over the Afghan campaign yet. I",2,pszemraj/pegasus-x-large-book-summary,"Holmes takes his bottle of morphine and his syringe and carefully places the needle into his arm chair. For some time, Holmes stares at the scar on his wrist and forearm. He then thrusts the needle back into the chair and sighs of satisfaction. For the past few months, Watson has watched Holmes perform this routine three times a day, but he has grown increasingly irritable with the sight and his conscience swells with the thought that he lacks the courage to express his disapproval. He had vowed to do so, but Holmes' cool, nonchalant manner made him the only man who would care to do anything approaching a liberty. Watson asks Holmes if he would like to try morphine or cocaine. Holmes says that it is a seven-cent solution. Watson says that his constitution has not yet healed from the war in Afghanistan.",0.42982456140350900,0.14977973568281900,0.3026315789473680,0.3026315789473680,0.885862410068512,0.829030275344849,0.856504678726196,0.9478358241473140
antagonist,antagonist.0.md,"His name, I have every reason to believe, is Jonathan Small. He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side. His left boot has a coarse, square-toed sole, with an iron band round the heel. He is a middle-aged man, much sunburned, and has been a convict. These few indications may be of some assistance to you, coupled with the fact that there is a good deal of skin missing from the palm of his hand. The other man-"" ""Ah! the other man-?"" asked Athelney Jones, in a sneering voice, but impressed none the less, as I could easily see, by the precision of the other's manner. ""Is a rather curious person,"" said Sherlock Holmes, turning upon his heel. ""I hope before very long to be able to introduce you to the pair of them.-A word with you, Watson."" He led me out to the head of the stair. ""This unexpected occurrence,"" he said, ""has caused us rather to lose sight of the original purpose of our journey."" ""I have just been thinking so,"" I answered. ""It is not right that Miss Morstan should remain in this stricken house."" ""No. You must escort her home. She lives with Mrs. Cecil Forrester, in Lower Camberwell: so it is not very far. I will wait for you here if you will drive out again. Or perhaps you are too tired?"" ""By no means. I don't think I could rest until I know more of this fantastic business. I have seen something of the rough side of life, but I give you my word that this quick succession of strange surprises to-night has shaken my nerve completely. I should like, however, to see the matter through with",0,sshleifer/distilbart-cnn-12-6,"Athelney Jones is a middle-aged man, much sunburned, and has been a convict . He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side of his left boot . Holmes led him out to the head of the stair . ""I don't think I could rest until I know more of this fantastic business,"" he said .",0.37037037037037000,0.3297872340425530,0.2857142857142860,0.2857142857142860,0.929402828216553,0.832297682762146,0.878174066543579,0.9182882458280000
antagonist,antagonist.0.md,"His name, I have every reason to believe, is Jonathan Small. He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side. His left boot has a coarse, square-toed sole, with an iron band round the heel. He is a middle-aged man, much sunburned, and has been a convict. These few indications may be of some assistance to you, coupled with the fact that there is a good deal of skin missing from the palm of his hand. The other man-"" ""Ah! the other man-?"" asked Athelney Jones, in a sneering voice, but impressed none the less, as I could easily see, by the precision of the other's manner. ""Is a rather curious person,"" said Sherlock Holmes, turning upon his heel. ""I hope before very long to be able to introduce you to the pair of them.-A word with you, Watson."" He led me out to the head of the stair. ""This unexpected occurrence,"" he said, ""has caused us rather to lose sight of the original purpose of our journey."" ""I have just been thinking so,"" I answered. ""It is not right that Miss Morstan should remain in this stricken house."" ""No. You must escort her home. She lives with Mrs. Cecil Forrester, in Lower Camberwell: so it is not very far. I will wait for you here if you will drive out again. Or perhaps you are too tired?"" ""By no means. I don't think I could rest until I know more of this fantastic business. I have seen something of the rough side of life, but I give you my word that this quick succession of strange surprises to-night has shaken my nerve completely. I should like, however, to see the matter through with",1,slauw87/bart_summarisation,"Sherlock Holmes wants to introduce Athelney Jones to Jonathan Small and a middle-aged man he suspects of being a former convict. He wants to escort Miss Morstan home. She lives with Mrs. Cecil Forrester, in Lower Camberwell. Sherlock will wait for him here if he will drive out.",0.2359550561797750,0.12429378531073400,0.1797752808988760,0.1797752808988760,0.900613486766815,0.801963150501251,0.848430275917053,0.8082022477706120
antagonist,antagonist.0.md,"His name, I have every reason to believe, is Jonathan Small. He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side. His left boot has a coarse, square-toed sole, with an iron band round the heel. He is a middle-aged man, much sunburned, and has been a convict. These few indications may be of some assistance to you, coupled with the fact that there is a good deal of skin missing from the palm of his hand. The other man-"" ""Ah! the other man-?"" asked Athelney Jones, in a sneering voice, but impressed none the less, as I could easily see, by the precision of the other's manner. ""Is a rather curious person,"" said Sherlock Holmes, turning upon his heel. ""I hope before very long to be able to introduce you to the pair of them.-A word with you, Watson."" He led me out to the head of the stair. ""This unexpected occurrence,"" he said, ""has caused us rather to lose sight of the original purpose of our journey."" ""I have just been thinking so,"" I answered. ""It is not right that Miss Morstan should remain in this stricken house."" ""No. You must escort her home. She lives with Mrs. Cecil Forrester, in Lower Camberwell: so it is not very far. I will wait for you here if you will drive out again. Or perhaps you are too tired?"" ""By no means. I don't think I could rest until I know more of this fantastic business. I have seen something of the rough side of life, but I give you my word that this quick succession of strange surprises to-night has shaken my nerve completely. I should like, however, to see the matter through with",2,pszemraj/pegasus-x-large-book-summary,"Jonathan Small is described as a small, poorly educated man, with a wooden stump on his inner side. He is wearing a coarse square toed boot with a band around the heel. Jonathan Small looks sunburned and has been convicted. Athelney asks if the other man is the same Jonathan Small. Sherlock Holmes introduces Jonathan Small to Watson. He says that the unexpected occurrence has caused them to lose sight on their original purpose of their journey. He explains that it is not right for Miss Morstan to remain in the house. He escorts her home. Watson says that he does not think he could rest until he knows more about the business.",0.40476190476190500,0.15789473684210500,0.3047619047619050,0.3047619047619050,0.906010866165161,0.835376143455505,0.869260907173157,0.9352447955310560
crime,crime.0.md,"""We earned a living at this time by my exhibiting poor Tonga at fairs and other such places as the black cannibal. He would eat raw meat and dance his war-dance: so we always had a hatful of pennies after a day's work. I still heard all the news from Pondicherry Lodge, and for some years there was no news to hear, except that they were hunting for the treasure. At last, however, came what we had waited for so long. The treasure had been found. It was up at the top of the house, in Mr. Bartholomew Sholto's chemical laboratory. I came at once and had a look at the place, but I could not see how with my wooden leg I was to make my way up to it. I learned, however, about a trap-door in the roof, and also about Mr. Sholto's supper-hour. It seemed to me that I could manage the thing easily through Tonga. I brought him out with me with a long rope wound round his waist. He could climb like a cat, and he soon made his way through the roof, but, as ill luck would have it, Bartholomew Sholto was still in the room, to his cost. Tonga thought he had done something very clever in killing him, for when I came up by the rope I found him strutting about as proud as a peacock. Very much surprised was he when I made at him with the rope's end and cursed him for a little blood-thirsty imp. I took the treasure-box and let it down, and then slid down myself, having first left the sign of the four upon the table, to show that the jewels had come back at last to those who had most right to them. Tonga then",0,sshleifer/distilbart-cnn-12-6,"""We earned a living at this time by my exhibiting poor Tonga at fairs and other such places as the black cannibal. He would eat raw meat and dance his war-dance: so we always had a hatful of pennies after a day's work. I still heard all the news from Pondicherry Lodge, and for some years there was no news to hear, except that they were hunting for the treasure . At last, however, came what we had waited for so long. The treasure had been found. It was up at the top of the house, in Mr. Bartholomew Sholto's chemical laboratory. I came at once and had a look at",0.5355450236966820,0.5333333333333330,0.5355450236966820,0.5355450236966820,0.976169347763062,0.872041344642639,0.921172022819519,0.9111564548910140
crime,crime.0.md,"""We earned a living at this time by my exhibiting poor Tonga at fairs and other such places as the black cannibal. He would eat raw meat and dance his war-dance: so we always had a hatful of pennies after a day's work. I still heard all the news from Pondicherry Lodge, and for some years there was no news to hear, except that they were hunting for the treasure. At last, however, came what we had waited for so long. The treasure had been found. It was up at the top of the house, in Mr. Bartholomew Sholto's chemical laboratory. I came at once and had a look at the place, but I could not see how with my wooden leg I was to make my way up to it. I learned, however, about a trap-door in the roof, and also about Mr. Sholto's supper-hour. It seemed to me that I could manage the thing easily through Tonga. I brought him out with me with a long rope wound round his waist. He could climb like a cat, and he soon made his way through the roof, but, as ill luck would have it, Bartholomew Sholto was still in the room, to his cost. Tonga thought he had done something very clever in killing him, for when I came up by the rope I found him strutting about as proud as a peacock. Very much surprised was he when I made at him with the rope's end and cursed him for a little blood-thirsty imp. I took the treasure-box and let it down, and then slid down myself, having first left the sign of the four upon the table, to show that the jewels had come back at last to those who had most right to them. Tonga then",1,slauw87/bart_summarisation,"""We earned a living at this time by my exhibiting Tonga at fairs and other places as the black cannibal. I still heard all the news from Pondicherry Lodge, and for some years there was no news to hear except that they were hunting for the treasure. The treasure had been found up at the top of the house in Mr. Bartholomew Sholto's chemical laboratory. Tonga made his way through the roof, but Bartholomet Shol to was still in the room and Tonga had to kill him.",0.42821158690176300,0.35443037974683500,0.41309823677581900,0.41309823677581900,0.941603720188141,0.846995353698731,0.891797423362732,0.9004857624741670
crime,crime.0.md,"""We earned a living at this time by my exhibiting poor Tonga at fairs and other such places as the black cannibal. He would eat raw meat and dance his war-dance: so we always had a hatful of pennies after a day's work. I still heard all the news from Pondicherry Lodge, and for some years there was no news to hear, except that they were hunting for the treasure. At last, however, came what we had waited for so long. The treasure had been found. It was up at the top of the house, in Mr. Bartholomew Sholto's chemical laboratory. I came at once and had a look at the place, but I could not see how with my wooden leg I was to make my way up to it. I learned, however, about a trap-door in the roof, and also about Mr. Sholto's supper-hour. It seemed to me that I could manage the thing easily through Tonga. I brought him out with me with a long rope wound round his waist. He could climb like a cat, and he soon made his way through the roof, but, as ill luck would have it, Bartholomew Sholto was still in the room, to his cost. Tonga thought he had done something very clever in killing him, for when I came up by the rope I found him strutting about as proud as a peacock. Very much surprised was he when I made at him with the rope's end and cursed him for a little blood-thirsty imp. I took the treasure-box and let it down, and then slid down myself, having first left the sign of the four upon the table, to show that the jewels had come back at last to those who had most right to them. Tonga then",2,pszemraj/pegasus-x-large-book-summary,"The narrator explains that he and his friend, the cannibal, earned a living by exhibiting at fairs and by selling raw meat and dancing war dances. He heard all about the treasure and waited for it to be found. One day, he came upon the treasure. He learned about the trap door in the roof and about the supper hour. He brought the man out with a rope wound around his waist. The man climbed through the roof but was unable to get to the top. He found that Bartholomew Shola was still inside the room. He was surprised when he saw that the man was proud and that he was cursing him for a ""little blood-thirty imp."" The narrator took the treasure box and slid it down to show that all the jewels were back.",0.48878923766816100,0.18468468468468500,0.3273542600896860,0.3273542600896860,0.88446855545044,0.83942061662674,0.861356019973755,0.9417011629707010
evidence,evidence.0.md,"""Just sit in the corner there, that your footprints may not complicate matters. Now to work! In the first place, how did these folk come, and how did they go? The door has not been opened since last night. How of the window?"" He carried the lamp across to it, muttering his observations aloud the while, but addressing them to himself rather than to me. ""Window is snibbed on the inner side. Framework is solid. No hinges at the side. Let us open it. No water-pipe near. Roof quite out of reach. Yet a man has mounted by the window. It rained a little last night. Here is the print of a foot in mould upon the sill. And here is a circular muddy mark, and here again upon the floor, and here again by the table. See here, Watson! This is really a very pretty demonstration."" I looked at the round, well-defined muddy discs. ""This is not a footmark,"" said I. ""It is something much more valuable to us. It is the impression of a wooden stump. You see here on the sill is the boot-mark, a heavy boot with the broad metal heel, and beside it is the mark of the timber-toe."" ""It is the wooden-legged man."" ""Quite so. But there has been some one else,-a very able and efficient ally. Could you scale that wall, doctor?"" I looked out of the open window. The moon still shone brightly on that angle of the house. We were a good sixty feet from the ground, and, look where I would, I could see no foothold, nor as much as a crevice in the brick-work. ""It is absolutely impossible,"" I answered. ""Without aid it is so. But suppose you had a friend up here who lowered you this good stout",0,sshleifer/distilbart-cnn-12-6,"Watson carried the lamp across to the window, muttering his observations aloud the while . ""Just sit in the corner there, that your footprints may not complicate matters,"" he said . ""This is not a footmark,"" said I. ""It is the impression of a wooden stump,"" said Watson . ""Quite so, but there has been some one else,"" he replied .",0.2857142857142860,0.24309392265193400,0.2087912087912090,0.2087912087912090,0.911487519741058,0.825564384460449,0.866400837898254,0.7609268428020340
