ctx_name,ctx_fname,q_idx,q_text,q_answer_true,qa_model,qa_answer_pred,tr_model_name_en_to_fr,tr_model_name_fr_to_en,tr_answer_pred_en_to_fr,tr_answer_pred_fr_to_en,spacy_sim,bertscore_precision,bertscore_recall,bertscore_f1,bertscore_hashcode,rouge1,rouge2,rougeL,rougeLsum
protagonist,protagonist.0.md,0,Who is the main character that the story revolves around?,Sherlock Holmes,deepset/roberta-large-squad2,Sherlock Holmes,Helsinki-NLP/opus-mt-en-fr,Helsinki-NLP/opus-mt-fr-en,Sherlock Holmes,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,0,Who is the main character that the story revolves around?,Sherlock Holmes,deepset/roberta-large-squad2,Sherlock Holmes,facebook/m2m100_418M,facebook/m2m100_418M,Sherlock Holmes,by Sherlock Holmes,1.0,0.5840288996696472,0.6107561588287354,0.5970935821533203,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.8,0.6666666666666666,0.8,0.8
protagonist,protagonist.0.md,1,Who is the detective in the story?,Sherlock Holmes,deepset/roberta-large-squad2,Sherlock Holmes,Helsinki-NLP/opus-mt-en-fr,Helsinki-NLP/opus-mt-fr-en,Sherlock Holmes,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,1,Who is the detective in the story?,Sherlock Holmes,deepset/roberta-large-squad2,Sherlock Holmes,facebook/m2m100_418M,facebook/m2m100_418M,Sherlock Holmes,by Sherlock Holmes,1.0,0.5840288996696472,0.6107561588287354,0.5970935821533203,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.8,0.6666666666666666,0.8,0.8
protagonist,protagonist.0.md,2,Who is the main protagonist in the story?,Sherlock Holmes,deepset/roberta-large-squad2,Sherlock Holmes,Helsinki-NLP/opus-mt-en-fr,Helsinki-NLP/opus-mt-fr-en,Sherlock Holmes,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,2,Who is the main protagonist in the story?,Sherlock Holmes,deepset/roberta-large-squad2,Sherlock Holmes,facebook/m2m100_418M,facebook/m2m100_418M,Sherlock Holmes,by Sherlock Holmes,1.0,0.5840288996696472,0.6107561588287354,0.5970935821533203,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.8,0.6666666666666666,0.8,0.8
protagonist,protagonist.0.md,3,What did Holmes take from the morocco case?,Syringe,deepset/roberta-large-squad2,hypodermic syringe,Helsinki-NLP/opus-mt-en-fr,Helsinki-NLP/opus-mt-fr-en,seringue hypodermique,hypodermic syringe,1.0,1.0000001192092896,1.0000001192092896,1.0000001192092896,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,3,What did Holmes take from the morocco case?,Syringe,deepset/roberta-large-squad2,hypodermic syringe,facebook/m2m100_418M,facebook/m2m100_418M,Syrienne hypodérmique,Hypodermic Syrian,0.642116136129505,0.778852105140686,0.7841407656669617,0.7814875245094299,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.5,0.0,0.5,0.5
protagonist,protagonist.0.md,4,What was noticeable about Holmes' forearm and wrist?,Puncture-marks,deepset/roberta-large-squad2,innumerable puncture-marks,Helsinki-NLP/opus-mt-en-fr,Helsinki-NLP/opus-mt-fr-en,innombrables marques de perforation,innumerable perforation marks,0.9436902371257793,0.8769773244857788,0.8317412734031677,0.8537605404853821,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
protagonist,protagonist.0.md,4,What was noticeable about Holmes' forearm and wrist?,Puncture-marks,deepset/roberta-large-squad2,innumerable puncture-marks,facebook/m2m100_418M,facebook/m2m100_418M,Nombreuses marques de points,A number of points,0.562992361134147,0.668339729309082,0.596248984336853,0.6302395462989807,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.0,0.0,0.0,0.0
protagonist,protagonist.0.md,5,Describe Holmes' manner while preparing the injection.,Nonchalant,deepset/roberta-large-squad2,"With his long, white, nervous fingers he adjusted the delicate needle",Helsinki-NLP/opus-mt-en-fr,Helsinki-NLP/opus-mt-fr-en,"Avec ses doigts longs, blancs, nerveux, il a ajusté l'aiguille délicate","With his long, white, nervous fingers, he adjusted the delicate needle",1.0,0.9741328954696655,0.9820643067359924,0.978082537651062,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,5,Describe Holmes' manner while preparing the injection.,Nonchalant,deepset/roberta-large-squad2,"With his long, white, nervous fingers he adjusted the delicate needle",facebook/m2m100_418M,facebook/m2m100_418M,"Avec ses doigts longs, blancs, nerveux, il ajuste la délicate aiguille","With his long, white, nervous fingers, he adjusts the delicate needle.",0.9921104473261028,0.9641019105911255,0.9781099557876587,0.9710554480552673,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.9090909090909091,0.8000000000000002,0.9090909090909091,0.9090909090909091
protagonist,protagonist.0.md,6,What substance did Holmes use that day?,Cocaine,deepset/roberta-large-squad2,cocaine,Helsinki-NLP/opus-mt-en-fr,Helsinki-NLP/opus-mt-fr-en,cocaïne,Cocaine,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,0.0,1.0,1.0
protagonist,protagonist.0.md,6,What substance did Holmes use that day?,Cocaine,deepset/roberta-large-squad2,cocaine,facebook/m2m100_418M,facebook/m2m100_418M,La cocaïne,The cocaine,1.0,0.6879561543464661,0.667686939239502,0.6776700615882874,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
protagonist,protagonist.0.md,7,What emotion does the narrator feel towards Holmes' habit?,Irritation,deepset/roberta-large-squad2,irritable,Helsinki-NLP/opus-mt-en-fr,Helsinki-NLP/opus-mt-fr-en,irritable,irritable,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,0.0,1.0,1.0
protagonist,protagonist.0.md,7,What emotion does the narrator feel towards Holmes' habit?,Irritation,deepset/roberta-large-squad2,irritable,facebook/m2m100_418M,facebook/m2m100_418M,irritable,Irritable,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,0.0,1.0,1.0
protagonist,protagonist.0.md,8,What made the narrator more irritable over time?,Holmes' habit,deepset/roberta-large-squad2,Sherlock Holmes,Helsinki-NLP/opus-mt-en-fr,Helsinki-NLP/opus-mt-fr-en,Sherlock Holmes,Sherlock Holmes,1.0,1.0,1.0,1.0,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),1.0,1.0,1.0,1.0
protagonist,protagonist.0.md,8,What made the narrator more irritable over time?,Holmes' habit,deepset/roberta-large-squad2,Sherlock Holmes,facebook/m2m100_418M,facebook/m2m100_418M,Sherlock Holmes,by Sherlock Holmes,1.0,0.5840288996696472,0.6107561588287354,0.5970935821533203,microsoft/deberta-xlarge-mnli_L40_no-idf_version=0.3.12(hug_trans=4.35.0),0.8,0.6666666666666666,0.8,0.8
